,title,onion
53,Man Shines Phone Light Over Empty Condom Drawer Like Wily Groundskeeper Hunting For Trespassers,1
54,The Weapons Of The Future And What Sounds You Should Make With Your Mouth While Describing What They Do,1
55,A True Miracle: This Woman Just Gave Birth To A Nintendo Switch,1
56,Quarantine Leading To More People Taking In Foster Gimps,1
57,Raspberry Self-Conscious About Amount Of Body Hair,1
58,Frustrated CEO Admits Pfizer Discovered Coronavirus Vaccine Months Ago But Still Can’t Agree On Ad Campaign,1
59,German Soccer League Simulates Presence Of Fans By Pumping Racial Slurs Into Stadiums,1
60,Marriott CEO Tells Investors He’s Had A Good First Quarter In Terms Of His Personal Life,1
61,NFL Reminds Black Coaches They’ll Get Their Chance Once League Runs Out Of Grudens And Shanahans,1
62,FiveThirtyEight Releases New Analytics Model Predicting Who Coronavirus Will Vote For,1
63,Warm Weather Compels Concept Of ‘Bikini Bod’ To Slither Forward From Poisoned Subconscious,1
64,"Confused Primitive Extraterrestrial Shrugs, Take Huge Bite Of Golden Record",1
65,Benadryl Introduces New Controlled Coma Pills To Sedate Users For Entirety Of Allergy Season,1
66,Trump Orders CDC To Research His Investment Portfolio For Potential Coronavirus Cures,1
67,Unclear Why Only One Half Of Couple Wearing Mask,1
68,"Nation’s Politicians, Law Enforcement, Corporate Executives Marvel At Futuristic Utopia They’re Living In",1
69,Pros And Cons Of Voting By Mail,1
70,Report: 0.004% Of Carbon Pollution Caused By Manufacturing Of ‘Mars Needs Moms’ Promotional Apparel,1
71,"Good News, ‘Final Fantasy’ Fans: Looks Like They Made A Bunch Of Those Things",1
72,Conversation-Starved Man Finally Treating Bumping Into Coworker As Exquisite Treasure It Truly Is,1
73,Garlic Clove Concerned About Being Deployed Into Water Glass With No Real Exit Strategy,1
74,"Study Finds ‘Auld Lang Syne’ Good Enough Song To Be Belted Out On Other Occasions, Too",1
75,Rapid Drop In Greenhouse Gas Emissions Causes Planet To Freeze Over,1
76,U.S. To Combat Growing Disillusionment By Playing New National Pump-Up Anthem Throughout Country,1
77,Growing Drug Tolerance Drives Trump To Buy Black-Tar Hydroxychloroquine Off Dealer In D.C. Metro Station,1
78,Amazon Institutes New ‘Hero Tax’ Charging Essential Workers Additional $2 Per Hour For Honor Of Bravely Performing Job,1
79,"‘This Is A Crazy Time, And It’s Okay If You’re Scared’ Says Man Burying Gagged Prisoner Alive",1
80,High Production Values Most Suspicious Part Of Conspiracy Theory Video,1
81,Rusty LeBron James Unable To Identify A Basketball,1
82,Americans React With Indifference After First Case Of Coronavirus Spreading To Pet Ferret,1
83,Mount St. Helens’ Anniversary Brings Divided Nation Together To Remember Grisly Scene In ‘Dante’s Peak’ When Dude’s Elbow Pops Out,1
84,"‘Just Know It’s Far Worse Than Whatever President Water Did,’ Says Trump Explaining Obamagate",1
85,Recipe Calls For Banana As If Man Has Access To Fucking Caribbean Street Market,1
86,"Coworkers On Zoom Trapped In Infinite Loop Of Telling Each Other ‘Oh Sorry, No, Go Ahead’",1
87,Terrifying Implications: Leaked Nintendo Source Code Could Give Terrorists The Ability To Weaponize Kirby,1
88,Unplanned 2:30 A.M. Trip Through Steven Seagal’s Wikipedia Page Worth Every Goddamn Second,1
89,God Recalls Getting Start As Backup Dancer Before Making It Big As Deity,1
90,So-Called Hero Puts Eggs At Bottom Of Grocery Bag,1
91,Investigation Reveals Coronavirus Covering Its Tracks By Making Victims’ Deaths Look Like Car Accidents,1
92,No One Aware Coworker Stormed Out Of Slack Meeting,1
93,Nervous New Driver Going To Stick To Sidewalks Until He’s More Confident,1
94,Desperate Sports Fan Would Almost Be Willing To Watch Own Kids Play In Backyard At This Point,1
95,Helpful HR Email Offers Employees Tips For Ignoring Mental Health,1
96,500-Mile Dead Zone Found Off Atlantic Coast Linked To Runoff From Olive Garden Alfredo Pipe,1
97,Emmanuel Macron: America’s Frenchest President?,1
98,The 11 Best Games To Play For The Nintendo Switch,1
99,"Democrats Praise Joe Biden For Being Only Candidate Able To Talk Down To Americans Like The Stupid, Slack-Jawed Dumdums They Really Are",1
100,Singing Birds Dressing Princess All Struggling With Bra Clasp,1
101,"Florida Governor Deploys National Guard To Force Residents Back Into Malls, Movie Theaters",1
102,Police Still Investigating What Happened Between Officer Discharging Weapon And Suspect’s Head Exploding,1
103,"U.S. Economists Predict Endless, Mandelbrot-Shaped Recovery",1
104,11 Greatest Sports Moments Made Possible By PEDs,1
105,Updated Patriot Act Finally Legalizes 80% Of Current FBI Operations,1
106,"Nurse Wearing Snoopy Scrubs, Floral Face Mask To Work Must Think Pandemic Some Kind Of Joke",1
107,New Windex Formula Promises To Kill Twice As Many Birds,1
108,Biden Campaign Email Trails Off Halfway Through,1
109,Family Can Trace Ancestry Back To Whatever The Hell Grandma Was Talking About,1
110,Prize Hog Doesn’t Know How She Can Retain Competition-Ready Body For Another Year,1
111,10 Over-The-Top Letters From The Alphabet,1
112,Disgusting Bigotry: The Media Is Only Blaming This Bat For Coronavirus Because He’s A Gamer,1
113,Eric Trump Requests Meeting With Barron To Determine Whether They Are Uncle And Nephew Or Brothers Or What,1
114,Damning Report Finds White House Ignored Skeletal Horsemen Galloping Through Sky As Early As January,1
115,Dr. Fauci Warns Of Needless Suffering And Death If America Allowed To Continue,1
116,Blue Angels Pilot Blushes After Jet Speeds Through Bras And Panties Strung On Alley Clothesline,1
117,"Report: Mary Grace, Get Your Ass Back Inside This Goddamn Instant",1
118,"Yeah, Well, Duck-Billed Platypus Thinks You Look Like Weird Little Freak Too",1
119,"Coffee Made, Poured, Consumed Without Single Conscious Thought",1
120,Eighth Grader Would Have Cranked Classroom Pencil Sharpener Few More Times If She Knew That Going To Be Last Chance,1
121,National Grandpa Council Allocates $300 Million To Provide Each American Some Walkin’ Around Money,1
122,Store Reopens Just In Time For Closeout Sale,1
123,Coronavirus Assumed White House Would Be Bigger In Person,1
124,Health Experts Say Coronavirus Originated In Promiscuous Bat Who Slept Around A Lot,1
125,Stephen Miller Reassures Sick Wife He Knows What It Looks Like When Woman Dying,1
126,‘The Last Dance’ Director Defends Creative Choice To Flash Forward To 2046,1
127,‘God Bless Our Heroes!’ Written Where Tip Should Be,1
128,All Man’s Fun Facts From Eisenhower Biography From Prologue,1
129,Last Cheerio Chased Around The Bowl For A Few Laps,1
130,Trump Blames Nation’s Susceptibility To Coronavirus Outbreak On Weakness Of America’s Race-Muddled Gene Pool,1
131,Man Can’t Wait For Quarantine To End So He Can Finally Take Shower Again,1
132,Speedrunner Accidentally Enjoys Game For A Moment,1
133,Health Officials Warn Mysterious Voice Calling For People To Come Out And Play In Middle Of Night Could Be Coronavirus,1
134,Experts Warn Unemployment Rate Could Soon Rise To America Is The Greatest Country In The World,1
135,Georgia Governor Disgusted By Inhumane Filming Of Black Man’s Murder,1
136,10 Utterly Unremarkable TV Shows To Transform Your Existence Into A Monochromatic Blur Where Each Day Is Indistinguishable From The Last,1
137,Each Successive Comment On ‘Jack And Diane’ Music Video More Heartbreaking Than Last,1
138,Incredible Security: The Xbox Series X Will Deter Would-Be Burglars By Emitting A Rotting Crab Smell At All Times,1
139,Study Finds It Statistically Impossible That Your Mom The Best Mom In The World,1
140,"Kansas Unveils $1.5 Million, 50,000-Square-Mile ‘Bless This Mess’ Border Mat",1
141,NYPD Officer Hopes Black Teen Only Coughing Because He Just Choked Him,1
142,"‘Light ’Em Up, Boys!’ Shouts Gun-Toting CDC Grunt After Hundreds Of Baby Coronaviruses Burst Out Of Pulsating Nest",1
143,Rich College Student Trying To Find Shabbiest Angle In Parents’ Penthouse To Zoom Into Class From,1
144,God Cleans Cosmos After Discovering Universe Infested With Ants,1
145,"Stephen A. Smith: ‘I’ve Loved Ha-Seong Kim For Years, But He Will Simply Never Be The Player Jeong Choi Is’",1
146,Golden Boy Boxing Applies For PPP Loan To Continue Paying Off Judges,1
147,REWIND! 10 Sharp Knives That Scarred You For Life,1
148,New York City Shuts Down Subway Overnight To Disinfect Rats,1
149,Quiet City Streets Allow Neighborhood Residents To Hear The Natural Sounds Of Couples’ Blow-Out Fights,1
150,Man Just Can’t Be With Someone Who He Projects So Many Of His Own Flaws Onto,1
151,Elon Musk Debuts New Self-Parenting Child,1
152,Study Finds Skin Melting Off Your Hands Revealing Bones Beneath Best Indication You’re About To Have A Bad Trip,1
153,Biden Campaign Considering Using The Internet To Attract Voters,1
154,"Conservative Militia Group Prepares For Societal Collapse By Training As Hairstylists, Nail Technicians",1
155,Facebook Cracking Down On Misinformation By Warning Users Who Share Links From Facebook,1
156,Nobody Panic: Bulbasaur Found A Gun,1
157,Boston Market CEO Forgoes Annual 2-Million-Gallon Gravy Bonus To Help Pay Unemployed Workers,1
158,Immune System Bored Too,1
159,Bride Only One Not Relieved About Postponed Wedding Date,1
160,"13 Adorable Photos Of Baby Farm Animals, But With Each Click, Another Appendage Will Be Cut Off Our Finance Director’s Body. How Far Will You Go? When Will You Let It Stop?",1
161,Pizza Placed In Frozen Slumber Until Time World Needs It Most,1
162,Man Feels Like He Gets Gist Of Enlightenment After First Few Minutes Of Hearing Zen Monk Talk,1
163,BREAKING: Millions Of Americans Sucked Out Into Space After NASA Accidentally Open Airlock Above Headquarters,1
164,Best At-Home Workouts To Do When Your Head Is Stuck In The Banister,1
165,Camouflage-Wearing Protesters Pose With Virus They Caught,1
166,Belarusian Soccer Execs Pop Champagne On New Mega Yacht To Celebrate Wave Of Increased Popularity That Will Surely Last Forever,1
167,Man Can’t Unsee That McDonald’s Logo Just Big ‘M’,1
168,Trump Blames China For Acting Too Late In Coordinating U.S. Coronavirus Response,1
169,Kindergartener Can’t Believe Friend Has Never Seen ‘Cars 3’ Before,1
170,Indomitable Honey Bee Stings Itself Rather Than Fall To Asian Hornet,1
171,Major Relief: Microsoft Has Confirmed That The Xbox Series X Will Play Video Games,1
172,10 Reasons Falling For Shameless Click Bait Makes You A Bad Mother,1
173,Elena Kagan Mutes Microphone So She Can Listen To Supreme Court Arguments While Washing Dishes,1
174,The Topical Wins A Pulitzer,1
175,NCAA Wonders Why Financially Struggling Student Athletes Didn’t Just Exploit Labor Of Others,1
176,Man Not Sure He Can Take Another 6 Weeks Of Barely Following CDC Guidelines,1
177,Biden Addresses Sexual Assault Allegations: ‘My Advisors Told Me To Say They Aren’t True’,1
178,40 Numbers Under 40,1
179,Glade Unveils New Strap-On Air Freshener,1
180,Even Better Than Travis Scott: The Nephew Of An Epic Games Executive Will Be Playing Some Songs On The Oboe For Everyone In ‘Fortnite’,1
181,Hospital Room Admittedly Nice Change Of Scenery,1
182,Americans React With Indifference After First Case Of Coronavirus Spreading To Pet Ferret,1
183,Struggling United States Purchased By Private Equity Firm,1
184,"Oh No, You Don’t: Get The Fuck Out Of This Issue, Elijah Wood, We Said We’re Busy This Week And We Meant It",1
185,Man In Quarantine Can’t Remember How Long It’s Been Since He Danced Through Town Square Followed By Big Chorus Of Friendly Locals,1
186,"Look, Brother, Sister Don’t Like That They’re Soulmates Either",1
187,Exhausted Parents Struggling To Limit Child’s Time Using Gun,1
188,Charles Barkley: ‘Michael Jordan Would Have Been Nothing Special Had He Played In My Day’,1
189,Bourgeois Pig Owns Ostentatious Glass Crafted Specifically To Hold Wine,1
190,Children’s Science Website Clearly Struggling To Come Up With 10 Facts About Slugs,1
191,Biden Campaign Fundraising Email Reminds Donors Sexual Assault Allegations Don’t Bury Themselves,1
192,Disappointing: Experts Are Now Telling Us That All The Big Kisses We Did To The TV Screen While Princess Zelda Was On Never Got Through To Her,1
193,"10 Sexiest Photos Of Kates, Uptons",1
194,"This Woman Was Isolated In Her Nursing Home, So Her Grandchildren Stood Outside With Signs To Ask Her For Money",1
195,"Thousands Of Pigs, Cattle Across Nation Stage Walkout Strike Following Trump’s Demands To Keep Meat Plants Open",1
196,Republicans Ridicule Democrats For Caring As Little About Sexual Assault As They Do,1
197,Longtime Person Dead At 86,1
198,Zoom Crasher Becomes Too Engrossed In Sales Meeting To Scream Obscenities,1
199,Other Butter Companies Scramble To Fill Racism Void Left By Land-O-Lakes,1
200,Thousands Of Stockpiled Ventilators Sent To New York Hospitals Turn Out To Be Claw Machines,1
201,10 Clumps Of Grass In Video Games,1
202,9 Photos Of Jennifer Lawrence That Will Make You Reassess The Scope Of The 1986 Vienna Convention On The Law Of Treaties Between States And International Organizations,1
203,Woman In Studio Apartment Jealously Watches Woman Standing On Balcony Jealously Watching Woman Relaxing In Yard,1
204,Undaunted Texas Waffle House Waitress Has Been Expecting To Die There Every Day For The Past 20 Years Anyway,1
205,Dog Screamed Into,1
206,Millions Of Texans Pop Out Of Barrels To Engage In Shootout After Governor Announces Reopening Of State,1
207,Jay Cutler’s Marriage Completion Percentage Drops To Zero,1
208,The Land Of The Free: 10 Ways You KNOW You’re Living In The Greatest Country On Earth,1
209,Walgreens Introduces New Dumbass-Only Shopping Hours For Dipshits Who Don’t Know How To Stay 6 Feet Away,1
210,Creatively Unfulfilled Hubble Telescope Transitions From Photography To Decoupage,1
211,Teleconferencing Pastor Requests Any Worshipper Currently Speaking In Tongues Go On Mute,1
212,Every Day Garbage Day For Garbage Man,1
213,"‘The Food Supply Chain Is Breaking Down,’ Screams Tyson CEO Being Swallowed Whole By Chicken",1
214,Trump Accuses New York Of Padding State’s Mortality Rate By Including African American Deaths,1
215,North Korean Media Report Kim Jong-Un In Best Health Of Life After Receiving Hundreds Of Heart Transplants,1
216,Cracker Barrel Booth Really Missed Moron’s Giant Ass,1
217,A Well-Deserved Break: This ER Nurse Just Finished A 15-Hour Shift And Is About To Get Destroyed In ‘Call Of Duty: Warzone’,1
218,God Pins Up Hunky Shot Of Mesopotamian Hunting Deity As Inspiration To Start Working Out,1
219,TheOnion.com Has Been Designated As A Pandemic Shelter In The Event That Covid-19 Could Spread Through The Internet,1
220,Occupation Drop-Down Menu Forces Man To Scroll Past List Of Every Existing Job Before He Can Select ‘Unemployed’,1
221,Millions Of ‘Last Dance’ Viewers Hooked By Thrilling Benny The Bull Paternity Suit Story,1
222,"‘A Dash Of Soap Bubbles, 2 Pinches Of Sunshine, And Just A Drop Of Imagination’ Says Top Hat-Wearing Trump Pouring Ingredients Into Fizzing Concoction",1
223,Report: Make It Stop,1
224,Report: Jogger Brushing Past You On Street Yesterday All It Took,1
225,Report: Majority Of Knocks At Study Door Occur At Precise Moment Finishing Touch Being Put On Delicate Scale Model,1
226,Everything You Need To Know About ‘Valorant’,1
227,Burnt Piece Of Toast On Top Of Trash Serves As Humiliating Monument To Culinary Failures,1
228,Nation Ashamed To Admit They Would Probably Look Up John Goodman’s Nudes If They Leaked,1
229,89-Year-Old Football Fan Still Finds It Surreal That Draftees Are Younger Than Him,1
230,"Tampa Bay Also Acquires Deion Branch, Kevin Faulk, Troy Brown From Patriots",1
231,Potentially Promising Covid-19 Vaccine Hits Roadblock After Testing Reveals It’s Just Shotgun,1
232,"Baby Emerges From Game Of Peekaboo Wiser, More Reflective",1
233,Man Reaches First Of Dozens Of Breaking Points To Come,1
234,"Wincing, Screaming Mom Feels Searing Pain In Head Every Time Daughter Across Country Wears Sock With Hole In It",1
235,11 Surefire Signs,1
236,Top Prospects Of The 2020 NFL Draft,1
237,Lower Smog Levels Revealing Poorly Rendered Parts Of California,1
238,Federal Reserve To Infuse Wall Street With $500 Billion Worth Of Cocaine,1
239,Rob Gronkowski Hoping Bucs Trade For Tom Brady Too,1
240,Gronkowski Breaks 6 Tackles On Way Out Of Neurology Clinic To Finalize Trade With Tampa Bay,1
241,"Shaggy, Curly-Nailed Georgia Governor Urges Salons To Reopen",1
242,Man Not Sure Why He Thought Most Psychologically Taxing Situation Of His Life Would Be The Thing To Make Him Productive,1
243,Oil Paintings Plunge Into Negative Pricing As Market Overrun With Surplus Of Still Lifes,1
244,Nancy Pelosi Assures Democratic Reps They Don’t Need To Try Being Productive During Stressful Pandemic,1
245,Silver Lining: ‘The Last Of Us 2’ Has Been Delayed Indefinitely But The ‘Q*bert 50th Anniversary Collection’ Just Released 12 Years Early,1
246,Report: Amazon Using Heat-Sensing Alien Hunters To Track Workers Attempting To Unionize,1
247,Psychologists: So-Called ‘Dr. Fauci’ Just A Figment Of Nation’s Collective Imagination,1
248,Shortage Of Supplies Forces Surgeon To Wear Boxing Gloves For Operation,1
249,It Starting To Become Pretty Clear Just How Much Cruises Were The Bedrock Of Parents’ Marriage,1
250,"If Woman Makes It Through This, She Finally Going To Wear Hat In Public",1
251,Supply Chain Breakdown Forces Ford To Leave Millions Of F-150s Rotting On Vine,1
252,Novak Djokovic Clarifies Anti-Vaccine Comments By Insisting He’s Always Supported Having Sponsors,1
253,Theoretical Commodities Trader Explodes Into Flash Of Pure Energy While Attempting To Buy Negative-Priced Oil,1
254,"Protesters Demand States Reopen, Notice Spike In Coronavirus Cases, Infuriate Them By Locking Down Again",1
255,Man Reminds Self Woman On Chiquita Banana Sticker Only Smiling At Him Because That’s Her Job,1
256,Land O’ Lakes Displaces Innocent Native American,1
257,Nation Close To Getting Video Conferencing Software To Work,1
258,BP Celebrates 10th Anniversary Of Deepwater Horizon By Dyeing Gulf Of Mexico Black,1
259,Fully Recovered Chris Cuomo Gradually Realizing Family Never Going To Let Him Out Of Basement,1
260,CDC Urges Nation’s Hotties And Studs Not To Hide That Pretty Little Face Behind A Mask,1
261,Boston Market CEO Forgoes Annual 2 Million-Gallon Gravy Bonus To Help Pay Unemployed Workers,1
262,"Having Trouble Finding The Coelacanth In ‘Animal Crossing’? And You Expect Us To Help You, After All You’ve Done? It Would Be Beneath Us To Even Grant You Death, You Dog",1
263,Antsy Nursing Home Residents Counting Down Seconds Until They Can All Get Back To Fucking Each Other,1
264,Regretful ‘The Last Dance’ Producers Realize They Probably Should’ve Tried To Interview Michael Jordan,1
265,Billions Of Viruses Gathered Outside Michigan State Capitol Call For End To Social Distancing Measures,1
266,Potential Ways For Sports To Restart During Coronavirus,1
267,Report: Rising Market Instability Driving More Countries To Peg Currencies To Akon’s Akoin,1
268,How Popcorn Dethroned Hen-Of-The-Woods Mushrooms As The Iconic Movie Snack,1
269,Fox News Producer Tasked With Calculating How Long It Would Take To Get Kid Rock A Doctorate,1
270,‘Salutations And Good Tidings!’ Blurts Out Man Speaking To Other Human For First Time In Days,1
271,Mental Health Walk Spent Being Glared At By Quarantined People In Windows,1
272,Pathetic Minimum-Wage Worker Devastated About Losing Job That Only Paid Couple Hundred Dollars A Week Anyway,1
273,Innovation FTW: New PS5 Controller Features Third Joystick You Operate With Your Tongue,1
274,Taiwanese Robot Baseball Fan Ejected For Yelling Slurs At Pitch Camera,1
275,"Ford, General Motors To Begin Manufacturing Car-Sized Ventilators",1
276,The Greatest Moments In Slideshow History,1
277,Russian Roulette Champion Wouldn’t Let His Son Play Russian Roulette,1
278,CEO Assures Employees He Doing Everything In His Power To Lay People Off,1
279,Answering The Call: Bungie Announced That Master Chief Is Available To Fight Coronavirus But Isn’t Sure How To Make That Happen,1
280,Names For William H. Macy Around The World,1
281,"‘I Congratulate Joe Biden, A Very Decent Man,’ Says Bernie Sanders In Unprovoked Attack On Democratic Party Unity",1
282,Boyfriend Announces Plan To Spend Infuriating Afternoon Speaking In Australian Accent,1
283,Report: Probably Best Not To Even Think About Crazy Virus Currently Brewing Inside Axolotl,1
284,"‘Barber…I Was A Barber,’ Says Man Struggling To Recall Life Before Pandemic",1
285,"Congress Sets Aside $1,200 In Trust For Each American Until They Prove They’re Responsible Enough To Handle It",1
286,Health Experts Say Coronavirus Originated In Promiscuous Bat Who Slept Around A Lot,1
287,Lonely Pedophile Wistfully Surveys Deserted Schoolyard Playground,1
288,Bulls Fire GM After 6-Week Winless Streak,1
289,"Obama: ‘I’m So Proud To Endorse Joe Biden—That’s Who They Went With, Huh?—For President’",1
290,Grinning Tim Cook Announces New iPhone Will No Longer Be Compatible With AirPods,1
291,Pope Francis Finally Close To Finishing Bible,1
292,9 Inconsistencies In The Mysterious Disappearance Of The Countess Wellington,1
293,Fears Over Food Supply Grows After Nation’s Naughty Little Boys Sneak Into Reserve Stockpiles And Eat All The Sweets,1
294,DMT Researchers Advise Maintaining 6-Foot Distance From Own Body,1
295,"Census Foot Soldiers Swarm Neighborhoods, Kick Down Doors To Tally Household Sizes",1
296,Aetna Honors All The Brave Insurance Debt Collectors Continuing To Work In This Difficult Time,1
297,Trump Blasts Dr. Fauci Over Repeated Negative Remarks About Coronavirus,1
298,Mike Pompeo Warns Iran Stockpiling Tubes To Build Ventilator,1
299,3 Dogs; 2 Clever Backyard Projects; 4 Candy Bars You Forgot Existed; A Woman Drowning; 2 80s Hairstyles We Loved and 30 Entrepreneurs Under 30,1
300,Bib-Wearing Nation Holding Forks And Knives Impatiently Waiting For Restaurants To Reopen,1
301,Postal Service Unveils Plan To Pay Debts With New $1 Trillion Stamp,1
302,Desperate Red Cross Introduces New High-Powered Arm Juicer To Get Every Last Drop Out Of Donors,1
303,Violently Bored Americans Begin Looting Puzzle Stores,1
304,Historians Discover Declaration Of Independence Originally Intended As Outlet For Founders To Vent Privately,1
305,"Bad News, Naughty Dog Fans: ‘The Last Of Us Part II’ Has Been Delayed Again After Joel Was Arrested For Taking Pictures Of Kids At Local Playgrounds",1
306,10 Celebrities You Never Knew Were Abducted And Murdered By Andie MacDowell,1
307,"‘I Can Still Cook This, Right,’ Asks Woman Holding Up Writhing, Screaming Potato With 8-Foot-Long Roots",1
308,Facebook Switchboard Operators Overwhelmed During High-Traffic Afternoon,1
309,European Vacation Dispatch: All Good Things Must Come To An End,1
310,Must See: The ‘Final Fantasy VII Remake’ Features The Gorgeous New Opening Film ‘Taxi Driver’,1
311,KitchenAid Introduces New High-Speed Countertop Chicken Decapitator,1
312,"LEGO Unveils New 20,000-Piece Ventilator Set To Aid Supply Shortage",1
313,"MUST SEE: 10 AMAZING, Totally WTF Brick Photos (NSFW)",1
314,"‘It Was, For, Uh, Medical Reasons,’ Says Doctor To Boris Johnson, Explaining Why They Had To Give Him Haircut",1
315,‘New York Times’ Pledges To Cover Biden Sexual Assault Allegations In Upcoming Crossword,1
316,Zoom CEO Reclines Back In Chair In Front Of Massive Wall Of Screens Displaying 10 Million Live Video Feeds,1
317,Walgreens Introduces New Dumbass-Only Shopping Hours For Dipshits Who Don’t Know How To Stay 6 Feet Away,1
318,Furloughed SeaWorld Orca Trying To Make Ends Meet By Picking Up Trader Joe’s Shift,1
319,Black Man Shot By Police After Matching Description For Covid-19,1
320,12 Top-Paying Jobs In The U.S.,1
321,CDC Releases Instructions For All Americans To Make Their Own Hospitals,1
322,Undaunted Sanders Supporters Announce They’ll Continue Presidential Campaign Without Candidate,1
323,"‘I Congratulate Joe Biden, A Very Decent Man,’ Says Bernie Sanders In Unprovoked Attack On Democratic Party Unity",1
324,European Vacation Dispatch: Ciao From The Venetian Riviera!,1
325,Damning Report Finds White House Ignored Skeletal Horsemen Galloping Through Sky As Early As January,1
326,NASA Launches Vengeance Rover To Pay Back Mars For Killing Opportunity Back In 2018,1
327,"‘Just Go Home And Sleep It Off,’ Says Doctor To Coughing, Feverish Black Patient",1
328,Olympic Torchbearer Has Been Jogging In Place On Street Corner For Past 2 Weeks,1
329,12 Shocking Table Corners We Wish We Could Unsee,1
330,"Exhausting Every Other Way To Pass Time, Couple Begins Ranking Their Lamps",1
331,Black Man Followed In Store From Exactly 6 Feet Away,1
332,Trump Overturns Presidential Limo While Touting Effectiveness Of PCP To Treat Coronavirus,1
